Season,Matches,Avg Goals,Avg Home Goals,Avg Away Goals,Home Win %,BTTS %,Over 2.5 %
2023,380,2.64,1.48,1.16,43.95,49.47,46.05
2024/25,90,2.61,1.46,1.16,45.56,57.78,47.78
